@ HyperIMU - ianovir - 2017
@ Date: Tue Jul 25 15:39:56 GMT+02:00 2017, Sampling Time: 20ms

timestamp,MPL_Gyroscope.x,MPL_Gyroscope.y,MPL_Gyroscope.z,MPL_Accelerometer.x,MPL_Accelerometer.y,MPL_Accelerometer.z,MPL_Rotation_Vector.x,MPL_Rotation_Vector.y,MPL_Rotation_Vector.z,MPL_Linear_Acceleration.x,MPL_Linear_Acceleration.y,MPL_Linear_Acceleration.z,MPL_Gravity.x,MPL_Gravity.y,MPL_Gravity.z
1500989997937,-5.326322E-4,0.0024301345,4.3276369E-4,0.102052845,0.09636662,9.869049,0.003178888,-0.0057908157,-0.062120926,-0.0055365916,0.009277532,0.054917,0.10938509,0.069132574,9.805753
1500989997960,-5.326322E-4,0.0024301345,4.3276369E-4,0.102052845,0.09636662,9.869049,0.003178888,-0.0057908157,-0.062120926,-0.0055365916,0.009277532,0.054917,0.10938509,0.069132574,9.805753
1500989997983,5.326322E-4,-7.656588E-4,0.001498028,0.11941081,0.08020575,9.866056,0.0032380726,-0.0057797134,-0.06351017,0.010324995,0.009726444,0.060303956,0.10908581,0.07047931,9.805753
1500989998006,5.326322E-4,-7.656588E-4,0.001498028,0.11941081,0.08020575,9.866056,0.0032380726,-0.0057797134,-0.06351017,0.010324995,0.009726444,0.060303956,0.10908581,0.07047931,9.805753
1500989998028,5.326322E-4,-7.656588E-4,0.001498028,0.11941081,0.08020575,9.866056,0.0032380726,-0.0057797134,-0.06351017,0.010324995,0.009726444,0.060303956,0.10908581,0.07047931,9.805753
1500989998053,-0.0026631611,-0.0018309233,-0.0016977652,0.12240356,0.06404489,9.884611,0.0032601403,-0.0058122734,-0.06483621,-0.011073183,-4.4891282E-4,0.08185177,0.109534726,0.07107786,9.805753
1500989998075,-0.0026631611,-0.0018309233,-0.0016977652,0.12240356,0.06404489,9.884611,0.0032601403,-0.0058122734,-0.06483621,-0.011073183,-4.4891282E-4,0.08185177,0.109534726,0.07107786,9.805753
1500989998100,0.0015978967,-7.656588E-4,4.3276369E-4,0.12479776,0.10235212,9.908553,0.0032765083,-0.0057970015,-0.06639346,0.015113398,0.02124854,0.08604162,0.10908581,0.07152677,9.805753
1500989998126,-5.326322E-4,-0.0018309233,-0.0016977652,0.11222821,0.08080431,9.892991,0.0033063218,-0.0058393003,-0.0679475,0.0023942017,0.008379706,0.08723872,0.109834,0.0724246,9.805753
1500989998149,-5.326322E-4,-0.0018309233,-0.0016977652,0.11222821,0.08080431,9.892991,0.0033063218,-0.0058393003,-0.0679475,0.0023942017,0.008379706,0.08723872,0.109834,0.0724246,9.805753
1500989998174,3.1611722E-4,-0.0016146746,5.158543E-4,0.12120646,0.093972415,9.860071,0.0033580577,-0.005873561,-0.07061616,0.0104746325,0.014215573,0.0688333,0.110133275,0.07377134,9.805603
1500989998197,3.1611722E-4,-0.0016146746,5.158543E-4,0.12120646,0.093972415,9.860071,0.0033580577,-0.005873561,-0.07061616,0.0104746325,0.014215573,0.0688333,0.110133275,0.07377134,9.805603
1500989998221,0.0013813816,-0.0016146746,5.158543E-4,0.11581951,0.10235212,9.819968,0.0033703623,-0.005893031,-0.071765564,-0.012569559,-0.0047884034,0.10534488,0.11043255,0.074220255,9.805603
1500989998245,0.0013813816,-5.494101E-4,-0.0016146746,0.1062427,0.08259996,9.867852,0.0033703623,-0.005893031,-0.071765564,0.002992752,0.008978256,0.05267244,0.11043255,0.074220255,9.805603
1500989998275,0.0013813816,-5.494101E-4,-0.0016146746,0.1062427,0.08259996,9.867852,0.0033703623,-0.005893031,-0.071765564,0.002992752,0.008978256,0.05267244,0.11043255,0.074220255,9.805603
1500989998300,3.1611722E-4,0.0015811187,5.158543E-4,0.10923545,0.08200141,9.86845,0.003394233,-0.0059132203,-0.073849924,-0.0038905777,-0.010175358,0.073023155,0.110731825,0.074818805,9.805603
1500989998324,3.1611722E-4,0.0015811187,5.158543E-4,0.10923545,0.08200141,9.86845,0.003394233,-0.0059132203,-0.073849924,-0.0038905777,-0.010175358,0.073023155,0.110731825,0.074818805,9.805603
1500989998348,3.1611722E-4,5.158543E-4,-5.494101E-4,0.1038485,0.076614454,9.896583,0.003434686,-0.0059287855,-0.07498314,0.0163105,-0.0028431145,0.04070143,0.11088146,0.07586627,9.805603
1500989998372,3.1611722E-4,5.158543E-4,-5.494101E-4,0.1038485,0.076614454,9.896583,0.003434686,-0.0059287855,-0.07498314,0.0163105,-0.0028431145,0.04070143,0.11088146,0.07586627,9.805603
1500989998395,3.1611722E-4,5.158543E-4,-5.494101E-4,0.1038485,0.076614454,9.896583,0.003434686,-0.0059287855,-0.07498314,0.0163105,-0.0028431145,0.04070143,0.11088146,0.07586627,9.805603
1500989998418,-7.491472E-4,-5.494101E-4,-5.494101E-4,0.1074398,0.091578215,9.817574,0.003463841,-0.0059378073,-0.077073984,-0.0104746325,0.009576807,0.04309563,0.110731825,0.076614454,9.805603
1500989998441,-7.491472E-4,-5.494101E-4,-5.494101E-4,0.1074398,0.091578215,9.817574,0.003463841,-0.0059378073,-0.077073984,-0.0104746325,0.009576807,0.04309563,0.110731825,0.076614454,9.805603
1500989998463,-7.491472E-4,-5.494101E-4,-5.494101E-4,0.11342531,0.092775315,9.903167,0.003486867,-0.005928482,-0.0781124,-0.01316811,0.020949265,0.047285482,0.11043255,0.077213004,9.805603
1500989998486,-7.491472E-4,-5.494101E-4,-5.494101E-4,0.11342531,0.092775315,9.903167,0.003486867,-0.005928482,-0.0781124,-0.01316811,0.020949265,0.047285482,0.11043255,0.077213004,9.805603
1500989998508,-7.491472E-4,-5.494101E-4,-5.494101E-4,0.11342531,0.092775315,9.903167,0.003486867,-0.005928482,-0.0781124,-0.01316811,0.020949265,0.047285482,0.11043255,0.077213004,9.805603
1500989998532,2.1624868E-4,3.3289514E-4,-0.0015148061,0.1050456,0.07182605,9.88102,0.0035093455,-0.005934651,-0.07912769,-0.0055365916,-0.005985504,0.075417355,0.11058219,0.077811554,9.805603
1500989998556,2.1624868E-4,3.3289514E-4,-0.0015148061,0.1050456,0.07182605,9.88102,0.0035093455,-0.005934651,-0.07912769,-0.0055365916,-0.005985504,0.075417355,0.11058219,0.077811554,9.805603
1500989998584,0.0012815131,3.3289514E-4,-0.0015148061,0.12659341,0.09935937,9.892991,0.0035095345,-0.0059096357,-0.081095226,-5.985504E-4,0.007631518,0.092775315,0.109834,0.07796119,9.805603
1500989998607,0.0012815131,3.3289514E-4,-0.0015148061,0.12659341,0.09935937,9.892991,0.0035095345,-0.0059096357,-0.081095226,-5.985504E-4,0.007631518,0.092775315,0.109834,0.07796119,9.805603
1500989998630,0.0012815131,0.0013981595,6.1572285E-4,0.12060791,0.08140286,9.8481,0.003535089,-0.0059138024,-0.081976496,0.010773907,-0.004938041,0.092176765,0.109834,0.07855974,9.805603
1500989998652,0.0012815131,0.0013981595,6.1572285E-4,0.12060791,0.08140286,9.8481,0.003535089,-0.0059138024,-0.081976496,0.010773907,-0.004938041,0.092176765,0.109834,0.07855974,9.805603
1500989998677,2.1624868E-4,-0.0028628982,6.1572285E-4,0.11222821,0.0796072,9.863662,0.0035391226,-0.005909414,-0.08277815,0.008529344,-2.992752E-4,0.1388637,0.10968436,0.07870938,9.805603
1500989998699,2.1624868E-4,-0.0028628982,6.1572285E-4,0.11222821,0.0796072,9.863662,0.0035391226,-0.005909414,-0.08277815,0.008529344,-2.992752E-4,0.1388637,0.10968436,0.07870938,9.805603
1500989998722,2.1624868E-4,-0.0028628982,6.1572285E-4,0.11222821,0.0796072,9.863662,0.0035391226,-0.005909414,-0.08277815,0.008529344,-2.992752E-4,0.1388637,0.10968436,0.07870938,9.805603
1500989998745,2.1624868E-4,0.0013981595,0.0016809873,0.084096335,0.090381116,9.860071,0.0035489565,-0.005958111,-0.084096394,0.0028431145,0.009427169,0.05925649,0.11058219,0.07915829,9.805603
